airport,n,"[ˈɛrˌpɔrt]","机场","We arrived at the airport two hours early.","我们提前两小时到达机场。"
alarm,n./v,"[əˈlɑːrm]","警报；使惊恐","The alarm rang at six in the morning.","早上六点闹钟响了。"
alcohol,n,"[ˈælkəhɔl]","酒精；酒","He does not drink alcohol.","他不喝酒。"
alive,adj,"[əˈlaɪv]","活着的；有生气的","The plant looks alive and healthy.","这株植物看起来有生气且健康。"
all,det./pron./adv,"[ɔːl]","全部；都","All students must attend the meeting.","所有学生都必须参加会议。"
allow,v,"[əˈlaʊ]","允许；准许","Smoking is not allowed here.","这里不允许吸烟。"
almost,adv,"[ˈɔːlmoʊst]","几乎；差不多","She's almost finished her homework.","她差不多完成了作业。"
alone,adj./adv,"[əˈloʊn]","单独的；孤独的","He lives alone in the city.","他独自住在城市里。"
along,prep./adv,"[əˈlɔːŋ]","沿着；一起","We walked along the river.","我们沿河散步。"
already,adv,"[ɔːlˈrɛdi]","已经","She has already left.","她已经离开了。"
also,adv,"[ˈɔːlsoʊ]","也；此外","He likes basketball; he also plays football.","他喜欢篮球，也踢足球。"
alter,v,"[ˈɔːltər]","改变；修改","We need to alter the schedule.","我们需要更改日程。"
alternative,n./adj,"[ɔːlˈtɜːrnətɪv]","可替代的；选择","We should find an alternative solution.","我们应找到替代方案。"
although,conj,"[ɔːlˈðoʊ]","尽管；虽然","Although it rained, we continued the trip.","虽然下雨了，但我们还是继续旅行。"
always,adv,"[ˈɔːlweɪz]","总是；一直","She always arrives early.","她总是提前到达。"
amaze,v,"[əˈmeɪz]","使惊讶；使惊叹","The magician amazed the children.","魔术师让孩子们惊叹不已。"
ambition,n,"[æmˈbɪʃən]","野心；抱负","He has high ambitions for his career.","他对自己的事业有很高的抱负。"
among,prep,"[əˈmʌŋ]","在……之中；在……之间","She was sitting among her friends.","她坐在朋友中间。"
amount,n./v,"[əˈmaʊnt]","数量；总计；共计","The total amount is over $100.","总金额超过 100 美元。"
amuse,v,"[əˈmjuːz]","娱乐；逗乐","The clown amused the audience.","小丑逗乐了观众。"
