affair,n,"[əˈfɛr]","事务；事件","The scandal became a public affair.","这起丑闻成了公众事件。"
affect,v,"[əˈfɛkt]","影响；使感动","His speech affected everyone deeply.","他的演讲深深打动了每个人。"
afford,v,"[əˈfɔrd]","负担得起；给予","I can't afford to buy a new car now.","我现在买不起新车。"
afraid,adj,"[əˈfreɪd]","害怕的；担心的","She is afraid of the dark.","她害怕黑暗。"
after,prep./adv,"[ˈæftər]","在……之后","We will go for a walk after dinner.","我们晚饭后去散步。"
afternoon,n,"[ˌæftərˈnuːn]","下午","I'll see you this afternoon.","我今天下午见你。"
again,adv,"[əˈɡɛn]","再次；又","Please say that again.","请再说一遍。"
against,prep,"[əˈɡɛnst]","反对；靠着","He leaned against the wall.","他靠在墙上。"
age,n./v,"[eɪdʒ]","年龄；变老","At the age of twenty, he started university.","他二十岁时上了大学。"
agency,n,"[ˈeɪdʒənsi]","代理处；机构","She works for an advertising agency.","她在一家广告公司工作。"
agent,n,"[ˈeɪdʒənt]","代理人；经纪人","The agent negotiated the contract.","代理人谈判了合同。"
aggressive,adj,"[əˈɡrɛsɪv]","侵略性的；好斗的","The company has an aggressive growth plan.","公司有一个激进的增长计划。"
ago,adv,"[əˈɡoʊ]","以前","He left three years ago.","他三年前离开了。"
agree,v,"[əˈɡriː]","同意；达成一致","I agree with your opinion.","我同意你的观点。"
agreement,n,"[əˈɡriːmənt]","协议；一致","They signed an agreement yesterday.","他们昨天签署了协议。"
ahead,adv,"[əˈhɛd]","在前；提前","There is a long road ahead.","前面有一条漫长的路。"
aid,n./v,"[eɪd]","援助；帮助","The charity provided aid to the victims.","慈善机构向受害者提供了援助。"
aim,n./v,"[eɪm]","目标；瞄准；旨在","The aim of this project is to reduce waste.","这个项目的目标是减少浪费。"
air,n./v,"[ɛr]","空气；播送；使通风","Open the window to let in fresh air.","打开窗户让新鲜空气进来。"
aircraft,n,"[ˈɛrˌkræft]","飞机；航空器","Several aircraft were delayed due to fog.","由于雾，几架飞机延误了。"
